Domain Code,Domain,Area Code (ISO3),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2001","2001","kcal/cap/d","2259","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2002","2002","kcal/cap/d","2265","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2003","2003","kcal/cap/d","2271","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2004","2004","kcal/cap/d","2278","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2005","2005","kcal/cap/d","2285","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2006","2006","kcal/cap/d","2291","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2007","2007","kcal/cap/d","2297","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2008","2008","kcal/cap/d","2296","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2009","2009","kcal/cap/d","2296","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2010","2010","kcal/cap/d","2303","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2011","2011","kcal/cap/d","2307","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2012","2012","kcal/cap/d","2312","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2013","2013","kcal/cap/d","2317","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2014","2014","kcal/cap/d","2323","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2015","2015","kcal/cap/d","2328","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2016","2016","kcal/cap/d","2334","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2017","2017","kcal/cap/d","2339","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2018","2018","kcal/cap/d","2345","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2019","2019","kcal/cap/d","2350","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2020","2020","kcal/cap/d","2355","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2021","2021","kcal/cap/d","2361","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2022","2022","kcal/cap/d","2366","E","Estimated value",""
"FS","Suite of Food Security Indicators","JOR","Jordan","6128","Value","21057","Average dietary energy requirement (kcal/cap/day)","2023","2023","kcal/cap/d","2371","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20002002","2000-2002","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20012003","2001-2003","%","2.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20022004","2002-2004","%","2.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20032005","2003-2005","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20042006","2004-2006","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20052007","2005-2007","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20062008","2006-2008","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20072009","2007-2009","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20082010","2008-2010","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20092011","2009-2011","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20102012","2010-2012","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20112013","2011-2013","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20122014","2012-2014","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20132015","2013-2015","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20142016","2014-2016","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20152017","2015-2017","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20162018","2016-2018","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20172019","2017-2019","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20182020","2018-2020","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20192021","2019-2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20202022","2020-2022","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6121","Value","210041","Prevalence of undernourishment (percent) (3-year average)","20212023","2021-2023","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2000","2000","kcal/cap/d","43","E","Estimated value",""
"FS","Suite of Food Security Indicators","KOR","Republic of Korea","6128","Value","21031","Per capita food supply variability (kcal/cap/day)","2001","2001","kcal/cap/d","42","E","Estimated value",""
